sku_id,tier,shop,trust,title,variant,price_usd,in_stock,landed_eur_est_8box_bundle,market_ask_us,market_sold_us,market_sold_source,market_sold_checked_at,buy_below,watch_below,eu_ref_eur,status,restock,url,seen_at,match_score
PANINI_2023-24_COURT_KINGS_HOBBY,hobby,columbia,trusted,2023-24 Panini Court Kings Basketball Hobby Box,,209.99,0,230.0,,,,,250.0,300.0,,,0,https://columbiasportscard.com/products/2023-24-panini-court-kings-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_COURT_KINGS_HOBBY,hobby,bleecker,watch,2023-24 Panini Court Kings Basketball Hobby Box,,235.0,0,255.87,,,,,250.0,300.0,,,0,https://bleeckertrading.com/products/2023-2024-panini-court-kings-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_COURT_KINGS_HOBBY,hobby,worldchampion,watch,2023-24 Panini Court Kings Basketball Hobby Box,,250.0,0,271.39,,,,,250.0,300.0,,,0,https://www.worldchampionsportscards.org/products/2023-24-panini-court-kings-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_COURT_KINGS_HOBBY,hobby,awesome,trusted,2023-24 Panini Court Kings Basketball Hobby Box,,680.75,0,716.96,,,,,250.0,300.0,,,0,https://theawesomecardshop.com/products/2023panini-court-kings-basketball-hobby-boxsportscards,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_REVOLUTION_HOBBY,hobby,sportscardjunction,watch,2023-24 Panini Revolution Basketball Hobby Box,,140.0,0,157.6,399.95,,,,275.0,320.0,,,0,https://sportscardjunction.com/products/2023-24-panini-revolution-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_REVOLUTION_HOBBY,hobby,awesome,trusted,2023-24 Panini Revolution Basketball Hobby Box,,159.75,0,178.03,399.95,,,,275.0,320.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-revolution-basketball-hobby-box-2,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_REVOLUTION_HOBBY,hobby,worldchampion,watch,2023-24 Panini Revolution Basketball Hobby Box,,175.0,0,193.81,399.95,,,,275.0,320.0,,,0,https://www.worldchampionsportscards.org/products/2023-24-panini-revolution-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_REVOLUTION_HOBBY,hobby,ballgame,watch,2023-24 Panini Revolution NBA Trading Card Hobby Box,,190.0,0,209.32,399.95,,,,275.0,320.0,,,0,https://theballgame.com/products/2023-24-panini-revolution-nba-trading-card-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_REVOLUTION_HOBBY,hobby,monmouth,watch,2023-24 Panini Revolution Basketball Hobby Box,,199.99,0,219.66,399.95,,,,275.0,320.0,,,0,https://monmouthcards.com/products/2023-24-panini-revolutions-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,awesome,trusted,2023-24 Panini Donruss Optic Basketball Hobby Box,,464.75,0,493.53,,,,,250.0,300.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-donruss-optic-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,monmouth,watch,2023-24 Panini Donruss Optic Basketball Hobby Box,,499.99,0,529.98,,,,,250.0,300.0,,,0,https://monmouthcards.com/products/2023-24-panini-donruss-optic-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
